작업분류,작업시작시간,소요시간(초),파일명,분석건수,기타정보
감정분석 모델로딩,2025-03-19 13:19:59,3.49,,,
사용자지정 감정분석 모델로딩,2025-03-19 14:59:18,3.1,,,
사용자지정 감정분석 모델로딩,2025-03-20 06:24:25,3.15,,,
파일_감정분석,2025-03-20 06:26:07,2.68,,,
사용자지정 감정분석 모델로딩,2025-03-20 07:12:39,2.99,,,
파일_감정분석,2025-03-20 07:13:11,0.02,,,
파일_감정분석,2025-03-20 07:13:32,2.41,,,
사용자지정 감정분석 모델로딩,2025-03-20 09:32:33,3.78,,,
파일_감정분석,2025-03-20 09:33:24,3.94,,,
사용자지정 감정분석 모델로딩,2025-03-20 10:09:24,3.27,,,
파일_감정분석,2025-03-20 10:10:00,2.52,,,
사용자지정 감정분석 모델로딩,2025-03-20 13:36:05,4.27,,,
모델_로드,2025-03-20 13:36:09,0.0,kote_pytorch_lightning.bin,,
텍스트_감정분석,2025-03-20 13:36:20,0.43,,1.0,"주요감정: 신기함/관심, 강도: 0.8691"
파일_로드,2025-03-20 13:36:43,0.0,123.csv,8.0,
파일_감정분석,2025-03-20 13:36:50,2.47,123.csv,8.0,"소요시간: 2.47초, 긍정: 7개, 부정: 0개, 중립: 1개"
사용자지정 감정분석 모델로딩,2025-03-20 14:15:16,3.3,,,
모델_로드,2025-03-20 14:15:19,0.0,kote_pytorch_lightning.bin,,
파일_로드,2025-03-20 14:15:36,0.0,123.csv,8.0,
파일_감정분석,2025-03-20 14:15:39,2.42,123.csv,8.0,"소요시간: 2.42초, 긍정: 7개, 부정: 0개, 중립: 1개"
사용자지정 감정분석 모델로딩,2025-03-20 14:23:42,3.06,,,
모델_로드,2025-03-20 14:23:46,0.0,kote_pytorch_lightning.bin,,
파일_로드,2025-03-20 14:23:54,0.0,감정분석 rawdata.csv,298.0,
파일_감정분석,2025-03-20 14:24:14,8.18,감정분석 rawdata.csv,298.0,"소요시간: 8.18초, 긍정: 0개, 부정: 298개, 중립: 0개"
사용자지정 감정분석 모델로딩,2025-03-20 14:27:06,1.65,,,
모델_로드,2025-03-20 14:27:08,0.0,kote_pytorch_lightning.bin,,
파일_로드,2025-03-20 14:27:17,0.0,감정분석 rawdata.csv,298.0,
파일_감정분석,2025-03-20 14:27:20,114.78,감정분석 rawdata.csv,298.0,"소요시간: 114.78초, 긍정: 274개, 부정: 9개, 중립: 15개"
사용자지정 감정분석 모델로딩,2025-03-20 14:39:41,3.14,,,
모델_로드,2025-03-20 14:39:44,0.0,kote_pytorch_lightning.bin,,
파일_로드,2025-03-20 14:39:50,0.0,감정분석 rawdata.csv,298.0,
파일_감정분석,2025-03-20 14:39:58,91.06,감정분석 rawdata.csv,298.0,"소요시간: 91.06초, 긍정: 274개, 부정: 9개, 중립: 15개"
사용자지정 감정분석 모델로딩,2025-03-20 14:53:04,3.47,,,
모델_로드,2025-03-20 14:53:08,0.0,kote_pytorch_lightning.bin,,
파일_로드,2025-03-20 14:53:20,0.0,감정분석 rawdata.csv,150.0,
파일_감정분석,2025-03-20 14:53:37,54.67,감정분석 rawdata.csv,150.0,"소요시간: 54.67초, 긍정: 139개, 부정: 2개, 중립: 9개"
